,name,url,api_url,api_type,status_code
96,www.opendata.go.ke,http://www.opendata.go.ke/,http://www.opendata.go.ke/,Socrata,200.0
99,dados.rs.gov.br,https://dados.rs.gov.br/,https://dados.rs.gov.br/,CKAN,200.0
100,danepubliczne.gov.pl,https://danepubliczne.gov.pl/,https://danepubliczne.gov.pl/,CKAN,200.0
101,data.bris.ac.uk,https://data.bris.ac.uk/data/,https://data.bris.ac.uk/data/,CKAN,200.0
102,data.gov.lv,https://data.gov.lv/,https://data.gov.lv/,CKAN,200.0
103,data.kk.dk,https://data.kk.dk/,https://data.kk.dk/,CKAN,200.0
104,data.lexingtonky.gov,https://data.lexingtonky.gov/,https://data.lexingtonky.gov/,CKAN,200.0
105,data.opendatasoft.com,https://data.opendatasoft.com/,https://data.opendatasoft.com/,OpenDataSoft,200.0
106,data.yorkopendata.org,https://data.yorkopendata.org/,https://data.yorkopendata.org/,CKAN,200.0
107,edx.netl.doe.gov,https://edx.netl.doe.gov/,https://edx.netl.doe.gov/,CKAN,200.0
108,healthdata.nj.gov,https://healthdata.nj.gov/,https://healthdata.nj.gov/,Socrata,200.0
109,opendata.bayern.de,https://opendata.bayern.de/,https://opendata.bayern.de/,CKAN,200.0
111,opendata.brussels.be,https://opendata.brussels.be/,https://opendata.brussels.be/,OpenDataSoft,200.0
112,opendata.paris.fr,https://opendata.paris.fr/,https://opendata.paris.fr/,OpenDataSoft,200.0
113,transparenz.karlsruhe.de,https://transparenz.karlsruhe.de/,https://transparenz.karlsruhe.de/,CKAN,200.0
114,www.data.gouv.fr,https://www.data.gouv.fr/,https://www.data.gouv.fr/,DataGouvFr,200.0
115,www.data.vic.gov.au,https://www.data.vic.gov.au/,https://www.data.vic.gov.au/,CKAN,200.0
117,www.opengov-muenchen.de,https://www.opengov-muenchen.de/,https://www.opengov-muenchen.de/,CKAN,200.0
118,data.iledefrance.fr,http://data.iledefrance.fr,http://data.iledefrance.fr,OpenDataSoft,200.0
119,opendata.paris.fr.opendatasoft.com,http://opendata.paris.fr.opendatasoft.com,http://opendata.paris.fr.opendatasoft.com,OpenDataSoft,200.0
120,pod.opendatasoft.com,http://pod.opendatasoft.com,http://pod.opendatasoft.com,OpenDataSoft,200.0
121,public.opendatasoft.com,http://public.opendatasoft.com,http://public.opendatasoft.com,OpenDataSoft,200.0
122,tourisme62.opendatasoft.com,http://tourisme62.opendatasoft.com,http://tourisme62.opendatasoft.com,OpenDataSoft,200.0
123,bronx.lehman.cuny.edu,https://bronx.lehman.cuny.edu,https://bronx.lehman.cuny.edu,Socrata,200.0
124,data.gov.uk,https://ckan.publishing.service.gov.uk,https://ckan.publishing.service.gov.uk/catalog.ttl,CKANDCAT,200.0
125,controllerdata.lacity.org,https://controllerdata.lacity.org,https://controllerdata.lacity.org,Socrata,200.0
126,data.acgov.org,https://data.acgov.org,https://data.acgov.org,Socrata,200.0
127,data.act.gov.au,https://data.act.gov.au,https://data.act.gov.au,Socrata,200.0
128,data.albanyny.gov,https://data.albanyny.gov,https://data.albanyny.gov,Socrata,200.0
129,data.austintexas.gov,https://data.austintexas.gov,https://data.austintexas.gov,Socrata,200.0
130,data.baltimorecity.gov,https://data.baltimorecity.gov,https://data.baltimorecity.gov,Socrata,200.0
131,data.burlingtonvt.gov,https://data.burlingtonvt.gov,https://data.burlingtonvt.gov,Socrata,200.0
132,data.cdc.gov,https://data.cdc.gov,https://data.cdc.gov,Socrata,200.0
133,data.cityofmadison.com,https://data.cityofmadison.com,https://data.cityofmadison.com,Socrata,200.0
134,data.cityofnewyork.us,https://data.cityofnewyork.us,https://data.cityofnewyork.us,Socrata,403.0
135,data.colorado.gov,https://data.colorado.gov,https://data.colorado.gov,Socrata,200.0
136,data.consumerfinance.gov,https://data.consumerfinance.gov,https://data.consumerfinance.gov,Socrata,200.0
137,data.ct.gov,https://data.ct.gov,https://data.ct.gov,Socrata,200.0
138,data.culvercity.org,https://data.culvercity.org,https://data.culvercity.org,Socrata,200.0
139,data.energystar.gov,https://data.energystar.gov,https://data.energystar.gov,Socrata,200.0
140,data.hartford.gov,https://data.hartford.gov,https://data.hartford.gov,Socrata,200.0
141,data.honolulu.gov,https://data.honolulu.gov,https://data.honolulu.gov,Socrata,200.0
142,data.kingcounty.gov,https://data.kingcounty.gov,https://data.kingcounty.gov,Socrata,200.0
143,data.maryland.gov,https://data.maryland.gov,https://data.maryland.gov,Socrata,200.0
144,data.mo.gov,https://data.mo.gov,https://data.mo.gov,Socrata,200.0
145,data.montgomerycountymd.gov,https://data.montgomerycountymd.gov,https://data.montgomerycountymd.gov,Socrata,200.0
146,data.ny.gov,https://data.ny.gov,https://data.ny.gov,Socrata,200.0
147,data.oaklandnet.com,https://data.oaklandnet.com,https://data.oaklandnet.com,Socrata,0.0
148,data.providenceri.gov,https://data.providenceri.gov,https://data.providenceri.gov,Socrata,200.0
150,data.redmond.gov,https://data.redmond.gov,https://data.redmond.gov,Socrata,200.0
151,data.vermont.gov,https://data.vermont.gov,https://data.vermont.gov,Socrata,200.0
152,data.weatherfordtx.gov,https://data.weatherfordtx.gov,https://data.weatherfordtx.gov,Socrata,200.0
