name,url,api_url,api_type,status_code
daten.buergernetz.bz.it,http://daten.buergernetz.bz.it/de/,http://daten.buergernetz.bz.it/de/,CKAN,200
dati.toscana.it,http://dati.toscana.it/,http://dati.toscana.it/,CKAN,0
dati.trentino.it,http://dati.trentino.it/,http://dati.trentino.it/,CKAN,200
dati.veneto.it,http://dati.veneto.it/,http://dati.veneto.it/,CKAN,200
datosabiertos.malaga.eu,http://datosabiertos.malaga.eu/,http://datosabiertos.malaga.eu/,CKAN,200
datospublicos.org,http://datospublicos.org/,http://datospublicos.org/,CKAN,200
donnees.ville.montreal.qc.ca,http://donnees.ville.montreal.qc.ca/,http://donnees.ville.montreal.qc.ca/,CKAN,200
donnees.ville.sherbrooke.qc.ca,http://donnees.ville.sherbrooke.qc.ca/,http://donnees.ville.sherbrooke.qc.ca/,CKAN,0
drdsi.jrc.ec.europa.eu,http://drdsi.jrc.ec.europa.eu/,http://drdsi.jrc.ec.europa.eu/,CKAN,200
linkeddatacatalog.dws.informatik.uni-mannheim.de,http://linkeddatacatalog.dws.informatik.uni-mannheim.de/,http://linkeddatacatalog.dws.informatik.uni-mannheim.de/,CKAN,200
opendata.admin.ch,http://opendata.admin.ch/,http://opendata.admin.ch/,CKAN,200
opendata.awt.be,http://opendata.awt.be/,http://opendata.awt.be/,CKAN,200
opendata.comune.bari.it,http://opendata.comune.bari.it/,http://opendata.comune.bari.it/,CKAN,200
opendata.go.tz,http://opendata.go.tz/,http://opendata.go.tz/,CKAN,0
opendata.hu,http://opendata.hu/,http://opendata.hu/,CKAN,0
opendata.opennorth.se,http://opendata.opennorth.se/,http://opendata.opennorth.se/,CKAN,0
opendatadc.org,http://opendatadc.org/,http://opendatadc.org/,CKAN,0
opendatagortynia.gr,http://opendatagortynia.gr/,http://opendatagortynia.gr/,CKAN,0
opendatareno.org,http://opendatareno.org/,http://opendatareno.org/,CKAN,0
opingogn.is,http://opingogn.is/,http://opingogn.is/,CKAN,200
www.datos.misiones.gov.ar,http://www.datos.misiones.gov.ar/,http://www.datos.misiones.gov.ar/,CKAN,200
www.hri.fi,http://www.hri.fi/,http://www.hri.fi/,CKAN,200
www.nosdonnees.fr,http://www.nosdonnees.fr/,http://www.nosdonnees.fr/,CKAN,200
www.odaa.dk,http://www.odaa.dk/,http://www.odaa.dk/,CKAN,200
www.opendata-hro.de,http://www.opendata-hro.de/,http://www.opendata-hro.de/,CKAN,200
www.opendata.go.ke,http://www.opendata.go.ke/,http://www.opendata.go.ke/,Socrata,200
www.opendata.provincia.roma.it,http://www.opendata.provincia.roma.it/,http://www.opendata.provincia.roma.it/,CKAN,200
catalogodatos.gub.uy,https://catalogodatos.gub.uy/,https://catalogodatos.gub.uy/,CKAN,200
dados.rs.gov.br,https://dados.rs.gov.br/,https://dados.rs.gov.br/,CKAN,200
danepubliczne.gov.pl,https://danepubliczne.gov.pl/,https://danepubliczne.gov.pl/,CKAN,200
data.bris.ac.uk,https://data.bris.ac.uk/data/,https://data.bris.ac.uk/data/,CKAN,200
data.gov.lv,https://data.gov.lv/,https://data.gov.lv/,CKAN,200
data.kk.dk,https://data.kk.dk/,https://data.kk.dk/,CKAN,200
data.lexingtonky.gov,https://data.lexingtonky.gov/,https://data.lexingtonky.gov/,CKAN,200
data.opendatasoft.com,https://data.opendatasoft.com/,https://data.opendatasoft.com/,OpenDataSoft,200
data.yorkopendata.org,https://data.yorkopendata.org/,https://data.yorkopendata.org/,CKAN,200
edx.netl.doe.gov,https://edx.netl.doe.gov/,https://edx.netl.doe.gov/,CKAN,200
healthdata.nj.gov,https://healthdata.nj.gov/,https://healthdata.nj.gov/,Socrata,200
opendata.bayern.de,https://opendata.bayern.de/,https://opendata.bayern.de/,CKAN,200
opendata.bristol.gov.uk,https://opendata.bristol.gov.uk/,https://opendata.bristol.gov.uk/,OpenDataSoft,200
opendata.brussels.be,https://opendata.brussels.be/,https://opendata.brussels.be/,OpenDataSoft,200
opendata.paris.fr,https://opendata.paris.fr/,https://opendata.paris.fr/,OpenDataSoft,200
transparenz.karlsruhe.de,https://transparenz.karlsruhe.de/,https://transparenz.karlsruhe.de/,CKAN,200
www.data.gouv.fr,https://www.data.gouv.fr/,https://www.data.gouv.fr/,DataGouvFr,200
www.data.vic.gov.au,https://www.data.vic.gov.au/,https://www.data.vic.gov.au/,CKAN,200
www.opendataphilly.org,https://www.opendataphilly.org/,https://www.opendataphilly.org/,CKAN,200
