domain,count,url,status_code
data.ojp.usdoj.gov,1,https://data.ojp.usdoj.gov/,200
data.sfgov.org,1092,https://datasf.org/opendata/,200
hidot-contracts.data.socrata.com,11,https://hidot-contracts.data.socrata.com/login,200
townofmiamilakes.data.socrata.com,13,http://townofmiamilakes.data.socrata.com,0
metroairports.data.socrata.com,38,http://metroairports.data.socrata.com,0
data.fortworthtexas.gov,12,http://data.fortworthtexas.gov,0
morrisvillenc.data.socrata.com,0,https://morrisvillenc.data.socrata.com/login,200
data.montgomerycountymd.gov,858,https://data.montgomerycountymd.gov/,200
dashboard.plano.gov,133,https://dashboard.plano.gov/,200
eda.data.commerce.gov,1,https://eda.data.commerce.gov/,200
woburnma.data.socrata.com,3,https://woburnma.data.socrata.com/,200
albanycountyny.data.socrata.com,2,https://albanycountyny.data.socrata.com/login,200
data.sonomacounty.ca.gov,222,https://data.sonomacounty.ca.gov/,200
centennialco.data.socrata.com,9,https://centennialco.data.socrata.com/,200
data.macoupincountyil.gov,45,https://data.macoupincountyil.gov/,200
data.montgomeryschoolsmd.org,246,https://data.montgomeryschoolsmd.org/,200
mydata.iadb.org,102,https://mydata.iadb.org/,200
data.debtwatch.treasurer.ca.gov,144,https://data.debtwatch.treasurer.ca.gov/,200
data.sustainablesm.org,163,https://data.sustainablesm.org/,200
vusd.data.socrata.com,0,https://vusd.data.socrata.com/,200
bloomington.data.socrata.com,6,https://bloomington.data.socrata.com/,200
data.wa.gov,2960,https://data.wa.gov/,200
beaufortcountysc.data.socrata.com,2,https://beaufortcountysc.data.socrata.com/,200
michigan.data.socrata.com,0,https://michigan.data.socrata.com/,200
usvi.data.socrata.com,3,https://usvi.data.socrata.com/,200
data.marincounty.org,358,https://data.marincounty.org/,200
marysvillewa.data.socrata.com,10,https://marysvillewa.data.socrata.com/,200
data.qac.org,63,http://data.qac.org,0
doralfl.data.socrata.com,5,http://doralfl.data.socrata.com,0
transparencyarchive.michigan.gov,279,https://transparencyarchive.michigan.gov/,200
cityofsitka.data.socrata.com,0,http://cityofsitka.data.socrata.com,0
usac-scgc.data.socrata.com,0,https://usac-scgc.data.socrata.com/login,200
data.hampton.gov,42,https://data.hampton.gov/,200
lafourchegov.data.socrata.com,5,http://lafourchegov.data.socrata.com,0
performance.carson.org,22,http://performance.carson.org,503
gnb.socrata.com,248,http://gnb.socrata.com,0
ormondbeach.data.socrata.com,0,https://ormondbeach.data.socrata.com/,200
austin-internal.data.socrata.com,1,https://austin-internal.data.socrata.com/login,200
bronx-lehman-cuny-staging.data.socrata.com,1,https://bronx-lehman-cuny-staging.data.socrata.com/,200
atlanta.data.socrata.com,4,https://atlanta.data.socrata.com/,200
data.brla.gov,223,http://data.brla.gov,0
covid19.buffalony.gov,1,http://covid19.buffalony.gov,0
covid19response.buffalony.gov,72,http://covid19response.buffalony.gov,0
cravenso.data.socrata.com,0,https://cravenso.data.socrata.com/,200
opendata.cityofhenderson.com,19,http://opendata.cityofhenderson.com,0
williamsoncountyschools.data.socrata.com,9,https://williamsoncountyschools.data.socrata.com/,200
newportbeachca.data.socrata.com,53,https://newportbeachca.data.socrata.com/,200
open.piercecountywa.gov,251,https://open.piercecountywa.gov/,200
mbda.data.commerce.gov,0,https://mbda.data.commerce.gov/,200
mi-treasury.data.socrata.com,85,https://mi-treasury.data.socrata.com/,200
esa.data.commerce.gov,0,https://esa.data.commerce.gov/,200
cityofnampa.data.socrata.com,0,https://cityofnampa.data.socrata.com/login,200
nasa-test-0.demo.socrata.com,31170,https://nasa-test-0.demo.socrata.com/,200
performance.smcgov.org,2313,https://performance.smcgov.org/,200
ca-sco.demo.socrata.com,36,https://ca-sco.demo.socrata.com/,200
perspectives.dnrec.delaware.gov,46,https://perspectives.dnrec.delaware.gov/,200
costamesaca.data.socrata.com,0,https://costamesaca.data.socrata.com/,200
data.alaska.gov,29,https://data.alaska.gov/,200
idahosupremecourt-internal.data.socrata.com,99,https://idahosupremecourt-internal.data.socrata.com/login,200
ntia.data.commerce.gov,31,https://ntia.data.commerce.gov/,200
franklincountyohio.data.socrata.com,5,https://franklincountyohio.data.socrata.com/,200
data.usaid.gov,1371,https://data.usaid.gov/,200
data.littlerock.gov,138,https://data.littlerock.gov/,200
www.opendatanyc.com,6,https://www.opendatanyc.com/,200
data.memphistn.gov,210,http://data.memphistn.gov,0
data.medicare.gov,155,https://data.cms.gov/provider-data/?redirect=true,200
data.oxnard.org,23,https://data.oxnard.org/,200
ccsd.data.socrata.com,1,https://ccsd.data.socrata.com/,200
opendata.howardcountymd.gov,170,https://opendata.howardcountymd.gov/,200
effinghamil.data.socrata.com,0,https://effinghamil.data.socrata.com/,200
bellevue.data.socrata.com,122,https://bellevue.data.socrata.com/,200
coconinocountyaz.data.socrata.com,3,https://coconinocountyaz.data.socrata.com/,200
data.seattle.gov,1026,https://data.seattle.gov/,200
data.greensboro-nc.gov,52,https://data.greensboro-nc.gov/,200
bloomfieldct.data.socrata.com,2,https://bloomfieldct.data.socrata.com/,200
agtransport.usda.gov,3,https://agtransport.usda.gov/,200
opendata.cityofmesquite.com,5,https://opendata.cityofmesquite.com/,200
lawrencevillega.data.socrata.com,1,https://lawrencevillega.data.socrata.com/,200
isc-v2.data.socrata.com,50,https://isc-v2.data.socrata.com/login,200
www.chattadata.org,204,http://www.chattadata.org,0
georgetowndividepud.data.socrata.com,0,https://georgetowndividepud.data.socrata.com/,200
rivierabch.data.socrata.com,0,https://rivierabch.data.socrata.com/,200
dcsheriff.data.socrata.com,5,https://dcsheriff.data.socrata.com/,200
noaa-fisheries-hq.data.socrata.com,35,https://noaa-fisheries-hq.data.socrata.com/,200
data.culvercity.org,49,https://data.culvercity.org/,200
data.montgomeryal.gov,153,https://opendata.montgomeryal.gov,200
data.richmondgov.com,89,https://data.richmondgov.com/,200
stat.montgomerycountymd.gov,5400,https://stat.montgomerycountymd.gov/,200
newtoncountyga.data.socrata.com,1,https://newtoncountyga.data.socrata.com/,200
performance.fultoncountyga.gov,668,https://performance.fultoncountyga.gov/,200
datahub.smcgov.org,1424,https://datahub.smcgov.org/,200
data.orcities.org,78,https://data.orcities.org/,200
celebratingcities.data.socrata.com,92,https://celebratingcities.data.socrata.com/,200
datadiscovery.nlm.nih.gov,24,https://datadiscovery.nlm.nih.gov/,200
buffalogroveil.data.socrata.com,0,https://buffalogroveil.data.socrata.com/,200
moreheadcitync.data.socrata.com,1,https://moreheadcitync.data.socrata.com/,200
data.transportation.gov,4,http://data.transportation.gov,0
generalitatdecatalunya-scgc.demo.socrata.com,0,https://generalitatdecatalunya-scgc.demo.socrata.com/,200
conyersga.data.socrata.com,5,https://conyersga.data.socrata.com/,200
data.cityofevanston.org,368,https://data.cityofevanston.org/,200
courtdata.idaho.gov,0,https://courtdata.idaho.gov/,200
data.tuscaloosa.com,14,https://data.tuscaloosa.com/,200
pennsylvania.demo.socrata.com,14,https://pennsylvania.demo.socrata.com/,200
corstat.coronaca.gov,180,https://corstat.coronaca.gov/,200
data.delaware.gov,289,https://data.delaware.gov/,200
fwisd.data.socrata.com,2,https://fwisd.data.socrata.com/,200
data.readingpa.gov,55,https://data.readingpa.gov/,200
capecoral.data.socrata.com,3,https://capecoral.data.socrata.com/,200
cityofalbany.data.socrata.com,5,http://cityofalbany.data.socrata.com,0
redmond-demo.demo.socrata.com,2,https://redmond-demo.demo.socrata.com/,200
stutsman.data.socrata.com,16,https://stutsman.data.socrata.com/,200
unioncountyoh.data.socrata.com,2,https://unioncountyoh.data.socrata.com/,200
beaufortcountyschools.data.socrata.com,4,https://beaufortcountyschools.data.socrata.com/,200
texas-scgc2.demo.socrata.com,1,https://texas-scgc2.demo.socrata.com/login,200
bcnv.data.socrata.com,14,https://bcnv.data.socrata.com/,200
wsac.demo.socrata.com,9,https://wsac.demo.socrata.com/,200
auditor-ca.demo.socrata.com,33,https://auditor-ca.demo.socrata.com/,200
performance.cookcountyil.gov,42,https://performance.cookcountyil.gov/,200
fiscalfocus.pittsburghpa.gov,20,https://fiscalfocus.pittsburghpa.gov/,200
data.muni.org,82,https://data.muni.org/,200
mtdesert.data.socrata.com,8,https://mtdesert.data.socrata.com/,200
noaa.data.commerce.gov,18,https://noaa.data.commerce.gov/,200
moreno-valley.data.socrata.com,1,https://moreno-valley.data.socrata.com/,200
delawarestate.data.socrata.com,0,https://delawarestate.data.socrata.com/login,200
data.winnipeg.ca,917,https://data.winnipeg.ca/,200
parkeronline.data.socrata.com,43,https://parkeronline.data.socrata.com/,200
statmo.data.socrata.com,440,http://statmo.data.socrata.com,0
data.exim.gov,4,http://data.exim.gov,0
palmcoastfl.data.socrata.com,2,https://palmcoastfl.data.socrata.com/,200
priv-data.ojp.usdoj.gov,50,http://priv-data.ojp.usdoj.gov,0
corvallisoregon-internal.data.socrata.com,1,https://corvallisoregon-internal.data.socrata.com/login,200
data.bayareametro.gov,341,https://data.bayareametro.gov/login,200
calgary.data.socrata.com,0,https://calgary.data.socrata.com/login,200
internal.open.piercecountywa.gov,2086,http://internal.open.piercecountywa.gov,0
seattleperformance.demo.socrata.com,3,https://seattleperformance.demo.socrata.com/,200
bentoncounty.data.socrata.com,2,https://bentoncounty.data.socrata.com/,200
